;name;address;e-mail;site;telephone;e_mail
0;Arkose Lille;75 rue des Postes, 59000, Лилль Франция;;http://lille.arkose.com/;tel:+33 7 62 18 63 19;mailto:contactlille@arkose.com?subject=?
1;Aromebase;8 rue des Fosses, 59800, Лилль Франция;;http://www.aromebase.fr;tel:+33 3 20 73 47 59;mailto:aromebase@orange.fr?subject=?
2;Rozo;79 rue de la Monnaie, 59800, Лилль Франция;;http://www.restaurant-rozo.fr;tel:+33 9 83 46 55 00;mailto:contact@restaurant-rozo.com?subject=?
3;PANCOOK;125 rue Colbert, 59000, Лилль Франция;;http://pancook.fr/;tel:+33 3 20 40 10 97;mailto:contact@pancook-restaurant-lille.fr?subject=?
4;Poggio;43 rue Nicolas Leblanc, 59000, Лилль Франция;;http://www.poggio-restaurant.com/;tel:+33 3 20 91 71 13;mailto:contact@poggio-restaurant.com?subject=?
5;Le Napoleon;Place de la Gare 17 Place de la Gare, 59000, Лилль Франция;;http://www.hotel-napoleon-lille.com/;tel:+33 3 20 42 19 69;mailto:hotel-napoleon-lille@orange.fr?subject=?
6;Quai 38;38 rue Saint Sebastien, 59800, Лилль Франция;;http://www.quai38-lille.fr/;tel:+33 3 20 42 10 68;mailto:contact@quai38-lille.fr?subject=?
7;Rouge Barre;50 rue de la Halle, 59800, Лилль Франция;;http://rougebarre.fr/;tel:+33 3 20 67 08 84;mailto:rougebarre@orange.fr?subject=?
8;Le Potager des Demoiselles Côté Bistro;73 rue de Seclin, 59175 Vendeville, Лилль Франция;;http://lepotagerdesdemoiselles.com;tel:+33 6 71 71 11 89;mailto:lepotagerdesdemoiselles@gmail.com?subject=?
9;L'Annexe;613 avenue de la Republique, 59800, Лилль Франция;;http://www.lannexe-lille.fr/;tel:+33 3 28 52 03 59;
10;Le Palais de la Biere;11 Bis Place de la Grace, 59000, Лилль Франция;;http://brasserie-lepalaisdelabiere.fr/;tel:+33 3 20 06 38 94;mailto:hotel-napoleon-lille@orange.fr?subject=?
11;L'Arc;10 rue des Bouchers, 59800, Лилль Франция;;http://l-arc.fr;tel:+33 3 20 49 73 34;
12;Aux Jours Heureux;130 avenue de la Republique, 59110 La Madeleine, Лилль Франция;;http://www.aux-jours-heureux.fr/;tel:+33 3 20 56 16 49;mailto:hello@aux-jours-heureux.fr?subject=?
13;Empreinte;170 avenue de l Hippodrome, 59130 Lambersart, Лилль Франция;;http://www.empreinterestaurant.com;tel:+33 3 20 44 00 21;mailto:resa@empreinterestaurant.com?subject=?
14;Chez Max;164 rue de Solferino 164 Rue de Solférino, 59800, Лилль Франция;;http://www.facebook.com/chez.max.1;tel:+33 3 20 77 59 86;mailto:chez.max@hotmail.fr?subject=?
15;Restaurant La Tradition;73 rue Massena 73 Rue Massena, 59800, Лилль Франция;;http://www.latrad.com;tel:+33 3 62 57 56 09;mailto:latradlille@gmail.com?subject=?
16;L'Estaminet Gantois;224 rue de Paris En annexe à l'hôtel Hermitage Gantois, 59800, Лилль Франция;;http://www.hotelhermitagegantois.com/?page_id=248;tel:+33 3 20 85 30 30;mailto:contact@gantoislille.com?subject=?
17;Chez Bacchus;124 rue des Postes, 59000, Лилль Франция;;http://www.chez-bacchus.fr/;tel:+33 3 28 36 47 68;
18;La Table - Clarance Hotel Lille;32 rue de la Barre, 59800, Лилль Франция;;http://www.clarancehotel.com/fr/page/hotel-restaurant-gastronomique-lille.3.html;tel:+33 3 59 36 35 59;mailto:clarance@clarancehotel.com?subject=?
19;Il Piccolino;57 rue Sainte Catherine, 59800, Лилль Франция;;https://il-piccolino-lille.business.site/;tel:+33 3 20 31 18 18;mailto:ilpiccolinolille@gmail.com?subject=?
20;L'Epicure;54 rue du General de Gaulle, 59110 La Madeleine, Лилль Франция;;http://lepicure-restaurant.com/;tel:+33 3 20 51 45 69;
21;La Bonbonniere;157 rue du Molinel, 59800, Лилль Франция;;http://www.cabaretlabonbonniere.com/;tel:+33 3 28 53 09 14;mailto:info@cabaretlabonbonniere.com?subject=?
22;Les Toquées by Benoit Bernard;110 quai Gery Legrand, 59000, Лилль Франция;;http://www.lestoquees.com;tel:+33 3 20 92 03 21;mailto:restaurantlestoquees@gmail.com?subject=?
23;La Criniere;14 Place Philippe de Girard, 59800, Лилль Франция;;;tel:+33 3 20 57 06 03;
24;La Fiancee du Pirate;54 rue du Commerce, 59650 Вильнев-д'Аск, Лилль Франция;;http://restaurantlafianceedupirate.fr;tel:+33 3 20 91 41 89;mailto:lafianceedupirate@hotmail.com?subject=?
25;Aoyama;70 rue de Gand, 59800, Лилль Франция;;http://www.aoyamarestaurant.com/;;mailto:aoyamalille@gmail.com?subject=?
26;Estaminet du Bourg;1 Place de la Liberte, 59650 Вильнев-д'Аск, Лилль Франция;;http://www.facebook.com/estaminetdubourg59;tel:+33 3 20 59 65 49;mailto:sevepasse@gmail.com?subject=?
27;Le compostelle;4 rue Saint Etienne, 59800, Лилль Франция;;http://lecompostelle.fr/;tel:+33 3 28 38 08 30;
28;L'Improviste;79 rue de Douai, 59000, Лилль Франция;;http://www.limproviste-restaurant.fr;tel:+33 6 80 31 16 46;mailto:bruno@limproviste-restaurant.fr?subject=?
29;Au Cœur de l’Inde;226 avenue de Dunkerque, 59130 Lambersart, Лилль Франция;;http://Aucoeurdelinde.eatbu.com;tel:+33 9 81 94 26 20;mailto:manjit.singh3253@gmail.com?subject=?
30;Autour de Vous;81 rue d Angleterre, 59800, Лилль Франция;;http://www.facebook.com/autourdevousepicerie;tel:+33 3 28 07 73 71;
31;L'Etable;3 Terrasse Sainte Catherine, 59800, Лилль Франция;;http://www.letablevieux-lille.fr;tel:+33 3 20 14 00 34;
32;Restaurant Le Baysca;505 rue Obert, 59118 Wambrechies, Лилль Франция;;https://www.facebook.com/restaurantlebaysca/;tel:+33 3 20 40 87 88;
33;Les 3 Brasseurs;18 Place de la Gare, 59800, Лилль Франция;;http://www.facebook.com/3brasseurs/;tel:+33 3 20 06 46 25;mailto:lille@les3brasseurs.com?subject=?
34;Arkose Lille;75 rue des Postes, 59000, Лилль Франция;;http://lille.arkose.com/;tel:+33 7 62 18 63 19;mailto:contactlille@arkose.com?subject=?
35;Aromebase;8 rue des Fosses, 59800, Лилль Франция;;http://www.aromebase.fr;tel:+33 3 20 73 47 59;mailto:aromebase@orange.fr?subject=?
36;Rozo;79 rue de la Monnaie, 59800, Лилль Франция;;http://www.restaurant-rozo.fr;tel:+33 9 83 46 55 00;mailto:contact@restaurant-rozo.com?subject=?
37;PANCOOK;125 rue Colbert, 59000, Лилль Франция;;http://pancook.fr/;tel:+33 3 20 40 10 97;mailto:contact@pancook-restaurant-lille.fr?subject=?
38;Restaurant Sébastopol;1 Place Sebastopol, 59000, Лилль Франция;;http://restaurantsebastopol.com/;tel:+33 3 20 13 13 38;
39;Poggio;43 rue Nicolas Leblanc, 59000, Лилль Франция;;http://www.poggio-restaurant.com/;tel:+33 3 20 91 71 13;mailto:contact@poggio-restaurant.com?subject=?
40;Le Napoleon;Place de la Gare 17 Place de la Gare, 59000, Лилль Франция;;http://www.hotel-napoleon-lille.com/;tel:+33 3 20 42 19 69;mailto:hotel-napoleon-lille@orange.fr?subject=?
41;Quai 38;38 rue Saint Sebastien, 59800, Лилль Франция;;http://www.quai38-lille.fr/;tel:+33 3 20 42 10 68;mailto:contact@quai38-lille.fr?subject=?
42;Rouge Barre;50 rue de la Halle, 59800, Лилль Франция;;http://rougebarre.fr/;tel:+33 3 20 67 08 84;mailto:rougebarre@orange.fr?subject=?
43;Le Potager des Demoiselles Côté Bistro;73 rue de Seclin, 59175 Vendeville, Лилль Франция;;http://lepotagerdesdemoiselles.com;tel:+33 6 71 71 11 89;mailto:lepotagerdesdemoiselles@gmail.com?subject=?
44;Aux Epherites;17 rue Nicolas Leblanc, 59000, Лилль Франция;;http://www.auxepherites.com;tel:+33 9 81 31 55 24;mailto:alexandre.suergiu@gmail.com?subject=?
45;L'Annexe;613 avenue de la Republique, 59800, Лилль Франция;;http://www.lannexe-lille.fr/;tel:+33 3 28 52 03 59;
46;Le Palais de la Biere;11 Bis Place de la Grace, 59000, Лилль Франция;;http://brasserie-lepalaisdelabiere.fr/;tel:+33 3 20 06 38 94;mailto:hotel-napoleon-lille@orange.fr?subject=?
47;L'Arc;10 rue des Bouchers, 59800, Лилль Франция;;http://l-arc.fr;tel:+33 3 20 49 73 34;
48;Aux Jours Heureux;130 avenue de la Republique, 59110 La Madeleine, Лилль Франция;;http://www.aux-jours-heureux.fr/;tel:+33 3 20 56 16 49;mailto:hello@aux-jours-heureux.fr?subject=?
49;Empreinte;170 avenue de l Hippodrome, 59130 Lambersart, Лилль Франция;;http://www.empreinterestaurant.com;tel:+33 3 20 44 00 21;mailto:resa@empreinterestaurant.com?subject=?
50;Chez Max;164 rue de Solferino 164 Rue de Solférino, 59800, Лилль Франция;;http://www.facebook.com/chez.max.1;tel:+33 3 20 77 59 86;mailto:chez.max@hotmail.fr?subject=?
51;Restaurant La Tradition;73 rue Massena 73 Rue Massena, 59800, Лилль Франция;;http://www.latrad.com;tel:+33 3 62 57 56 09;mailto:latradlille@gmail.com?subject=?
52;L'Estaminet Gantois;224 rue de Paris En annexe à l'hôtel Hermitage Gantois, 59800, Лилль Франция;;http://www.hotelhermitagegantois.com/?page_id=248;tel:+33 3 20 85 30 30;mailto:contact@gantoislille.com?subject=?
53;Chez Bacchus;124 rue des Postes, 59000, Лилль Франция;;http://www.chez-bacchus.fr/;tel:+33 3 28 36 47 68;
54;La Table - Clarance Hotel Lille;32 rue de la Barre, 59800, Лилль Франция;;http://www.clarancehotel.com/fr/page/hotel-restaurant-gastronomique-lille.3.html;tel:+33 3 59 36 35 59;mailto:clarance@clarancehotel.com?subject=?
55;Il Piccolino;57 rue Sainte Catherine, 59800, Лилль Франция;;https://il-piccolino-lille.business.site/;tel:+33 3 20 31 18 18;mailto:ilpiccolinolille@gmail.com?subject=?
56;Restaurant Jane;45 boulevard Carnot, 59800, Лилль Франция;;http://www.hotelarbrevoyageur.com/;tel:+33 3 20 20 62 62;mailto:restaurant@hotelarbrevoyageur.com?subject=?
57;L'Epicure;54 rue du General de Gaulle, 59110 La Madeleine, Лилль Франция;;http://lepicure-restaurant.com/;tel:+33 3 20 51 45 69;
58;La Bonbonniere;157 rue du Molinel, 59800, Лилль Франция;;http://www.cabaretlabonbonniere.com/;tel:+33 3 28 53 09 14;mailto:info@cabaretlabonbonniere.com?subject=?
59;Les Toquées by Benoit Bernard;110 quai Gery Legrand, 59000, Лилль Франция;;http://www.lestoquees.com;tel:+33 3 20 92 03 21;mailto:restaurantlestoquees@gmail.com?subject=?
60;La Criniere;14 Place Philippe de Girard, 59800, Лилль Франция;;;tel:+33 3 20 57 06 03;
61;La Fiancee du Pirate;54 rue du Commerce, 59650 Вильнев-д'Аск, Лилль Франция;;http://restaurantlafianceedupirate.fr;tel:+33 3 20 91 41 89;mailto:lafianceedupirate@hotmail.com?subject=?
